iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
972,-0.501862,-1.128113,-0.779787,4.829727,3.034607,3.021285,32.717722,-7.159876,246.594539
973,-0.502204,-1.128306,-0.784634,4.836638,3.038950,3.025362,32.979837,-6.921552,246.732768
974,-0.502602,-1.128465,-0.790011,4.844248,3.043731,3.029922,33.266437,-6.654353,246.884964
975,-0.503059,-1.128570,-0.795884,4.852492,3.048911,3.034948,33.574454,-6.359166,247.049842
976,-0.503577,-1.128607,-0.802206,4.861290,3.054439,3.040412,33.900226,-6.037498,247.225804
977,-0.504156,-1.128558,-0.808918,4.870549,3.060256,3.046275,34.239610,-5.691506,247.410981
978,-0.504796,-1.128412,-0.815952,4.880164,3.066297,3.052489,34.588116,-5.324001,247.603274
979,-0.505492,-1.128159,-0.823228,4.890021,3.072491,3.058994,34.941050,-4.938445,247.800411
980,-0.506240,-1.127795,-0.830661,4.900000,3.078761,3.065722,35.293665,-4.538912,248.000000
981,-0.507032,-1.127321,-0.838158,4.909979,3.085031,3.072594,35.641310,-4.130026,248.199589
982,-0.507858,-1.126742,-0.845625,4.919836,3.091224,3.079526,35.979567,-3.716872,248.396726
983,-0.508707,-1.126069,-0.852967,4.929451,3.097265,3.086429,36.304384,-3.304867,248.589019
984,-0.509566,-1.125319,-0.860090,4.938710,3.103083,3.093211,36.612177,-2.899610,248.774196
985,-0.510420,-1.124512,-0.866905,4.947508,3.108611,3.099779,36.899913,-2.506705,248.950158
986,-0.511254,-1.123671,-0.873331,4.955752,3.113791,3.106045,37.165161,-2.131570,249.115036
987,-0.512055,-1.122821,-0.879297,4.963362,3.118572,3.111926,37.406122,-1.779240,249.267232
988,-0.512807,-1.121986,-0.884742,4.970273,3.122915,3.117350,37.621628,-1.454167,249.405461
989,-0.513500,-1.121191,-0.889621,4.976439,3.126789,3.122255,37.811124,-1.160044,249.528782
990,-0.514121,-1.120457,-0.893904,4.981831,3.130177,3.126597,37.974633,-0.899650,249.636620
991,-0.514664,-1.119800,-0.897576,4.986439,3.133072,3.130347,38.112712,-0.674730,249.728782
992,-0.515125,-1.119232,-0.900639,4.990273,3.135481,3.133494,38.226404,-0.485915,249.805461
993,-0.515502,-1.118761,-0.903112,4.993362,3.137422,3.136048,38.317192,-0.332698,249.867232
994,-0.515797,-1.118388,-0.905029,4.995752,3.138923,3.138035,38.386955,-0.213440,249.915036
995,-0.516016,-1.118109,-0.906440,4.997508,3.140027,3.139502,38.437932,-0.125439,249.950158
996,-0.516167,-1.117916,-0.907405,4.998710,3.140782,3.140509,38.472684,-0.065024,249.974196
997,-0.516261,-1.117796,-0.908002,4.999451,3.141248,3.141131,38.494059,-0.027692,249.989019
998,-0.516309,-1.117733,-0.908312,4.999836,3.141490,3.141455,38.505156,-0.008259,249.996726
999,-0.516327,-1.117710,-0.908427,4.999979,3.141580,3.141575,38.509275,-0.001036,249.999589
1000,-0.516330,-1.117707,-0.908443,5.000000,3.141593,3.141593,38.509866,-0.000000,250.000000
